"year_quarter","rental_ppm"
"2008 Q1",564
"2008 Q2",580
"2008 Q3",591
"2008 Q4",580
"2009 Q1",579
"2009 Q2",577
"2009 Q3",582
"2009 Q4",572
"2010 Q1",586
"2010 Q2",591
"2010 Q3",590
"2010 Q4",589
"2011 Q1",583
"2011 Q2",597
"2011 Q3",605
"2011 Q4",600
"2012 Q1",598
"2012 Q2",605
"2012 Q3",613
"2012 Q4",613
"2013 Q1",613
"2013 Q2",615
"2013 Q3",618
"2013 Q4",617
"2014 Q1",623
"2014 Q2",644
"2014 Q3",665
"2014 Q4",672
"2015 Q1",677
"2015 Q2",683
"2015 Q3",685
"2015 Q4",694
"2016 Q1",708
"2016 Q2",714
"2016 Q3",727
"2016 Q4",732
"2017 Q1",734
"2017 Q2",748
"2017 Q3",752
"2017 Q4",746
"2018 Q1",746
"2018 Q2",757
"2018 Q3",773
"2018 Q4",780
"2019 Q1",772
"2019 Q2",783
"2019 Q3",802
"2019 Q4",804
"2020 Q1",800
"2020 Q2",799
"2020 Q3",820
"2020 Q4",844
"2021 Q1",846
"2021 Q2",853
"2021 Q3",898
"2021 Q4",944
"2022 Q1",976
"2022 Q2",981
"2022 Q3",1011
"2022 Q4",1065
"2023 Q1",1111
"2023 Q2",1114
"2023 Q3",1154
"2023 Q4",1203
"2024 Q1",1174
"2024 Q2",1154
"2024 Q3",1189
"2024 Q4",1196
"2025 Q1",1158
"2025 Q2",1155
"2025 Q3",1205
"2025 Q4",1230
